dim_age,dim_gender,dim_product_category,dim_season,dim_location,dim_item_purchased,meas_store_visits_per_month,meas_total_spending,dim_online_shopping,meas_membership_duration,meas_discount_usage,dim_preferred_payment_method,meas_days_since_last_purchase,meas_loyalty_points,meas_average_basket_size,meas_annual_income,meas_purchase_frequency,dim_preferred_product_category,meas_satisfaction_score,meas_cross_channel_shopping,dim_order_date
60.0,Male,Clothing,Winter,Nebraska,Shirt,12.0,3284.0,No,21.0,9.0,Debit Card,1.0,46.0,2.0,86131.0,6.0,Footwear,3.61,False,16-07-2023
49.0,Male,Accessories,Winter,Virginia,Handbag,2.0,6355.0,Yes,5.0,3.0,Credit Card,19.0,28.0,9.0,83774.0,10.0,Footwear,1.25,False,19-03-2022
33.0,Male,Accessories,Summer,Ohio,Jewelry,12.0,1108.0,Yes,7.0,7.0,Cash,7.0,4.0,9.0,59018.0,10.0,Outerwear,4.84,True,13-04-2022
45.0,Male,Clothing,Summer,Nebraska,Hoodie,7.0,7399.0,Yes,15.0,10.0,Credit Card,24.0,31.0,10.0,95845.0,8.0,Accessories,4.03,False,06-10-2023
29.0,Male,Accessories,Spring,Ohio,Gloves,4.0,6313.0,No,21.0,6.0,Cash,20.0,65.0,4.0,76946.0,6.0,Accessories,1.86,True,09-12-2023
58.0,Male,Outerwear,Winter,Kentucky,Coat,13.0,6886.0,Yes,21.0,1.0,Mobile Wallet,3.0,47.0,10.0,96944.0,4.0,Clothing,2.36,False,28-06-2022
22.0,Male,Footwear,Spring,Tennessee,Sandals,6.0,2810.0,No,22.0,3.0,Debit Card,13.0,49.0,8.0,64462.0,7.0,Accessories,3.66,True,15-06-2023
55.0,Male,Footwear,Fall,Maine,Boots,1.0,2768.0,No,12.0,7.0,Credit Card,27.0,26.0,2.0,116195.0,7.0,Clothing,2.6,False,15-10-2023
19.0,Male,Clothing,Spring,Montana,Pants,19.0,2676.0,No,15.0,7.0,Debit Card,24.0,19.0,4.0,40973.0,6.0,Outerwear,2.58,True,12-03-2023
68.0,Male,Clothing,Fall,Maryland,Socks,13.0,2014.0,Yes,20.0,6.0,Cash,10.0,4.0,7.0,60505.0,1.0,Outerwear,1.68,True,18-07-2023
61.0,Male,Clothing,Fall,Georgia,Blouse,7.0,4210.0,No,3.0,2.0,Debit Card,1.0,24.0,9.0,116809.0,9.0,Outerwear,5.0,False,23-05-2022
68.0,Male,Accessories,Fall,Hawaii,Handbag,10.0,8717.0,No,20.0,1.0,Mobile Wallet,16.0,25.0,2.0,51416.0,5.0,Accessories,1.22,False,10-05-2022
52.0,Male,Accessories,Spring,Rhode Island,Jewelry,14.0,2701.0,Yes,9.0,10.0,Credit Card,19.0,28.0,1.0,105458.0,9.0,Accessories,3.66,False,11-09-2023
41.0,Male,Clothing,Fall,Nebraska,Pants,9.0,5844.0,No,8.0,10.0,Credit Card,16.0,79.0,8.0,62248.0,3.0,Clothing,1.51,True,17-08-2023
29.0,Male,Accessories,Fall,Michigan,Belt,3.0,725.0,No,19.0,5.0,Mobile Wallet,15.0,54.0,7.0,85825.0,4.0,Clothing,1.75,True,11-03-2022
68.0,Male,Clothing,Fall,North Carolina,Jeans,8.0,3230.0,Yes,22.0,10.0,Debit Card,2.0,83.0,10.0,36296.0,2.0,Outerwear,3.69,True,05-12-2022
36.0,Male,Clothing,Summer,Minnesota,Shirt,5.0,768.0,Yes,1.0,1.0,Cash,17.0,24.0,3.0,38723.0,1.0,Footwear,1.69,True,25-06-2022
55.0,Male,Accessories,Spring,Maryland,Belt,19.0,4329.0,Yes,21.0,10.0,Mobile Wallet,14.0,12.0,7.0,94056.0,7.0,Clothing,3.2,True,06-06-2023
28.0,Male,Clothing,Spring,Hawaii,Jeans,15.0,6620.0,Yes,21.0,7.0,Credit Card,5.0,62.0,1.0,80726.0,7.0,Clothing,4.04,False,27-02-2023
39.0,Male,Clothing,Summer,Oregon,Jeans,5.0,3333.0,Yes,8.0,6.0,Mobile Wallet,19.0,44.0,8.0,64523.0,6.0,Outerwear,2.99,True,23-04-2023
54.0,Male,Clothing,Fall,New Mexico,Sweater,12.0,5928.0,No,7.0,3.0,Cash,10.0,96.0,10.0,76789.0,3.0,Clothing,2.53,True,16-03-2022
40.0,Male,Footwear,Winter,Illinois,Sneakers,1.0,8905.0,Yes,8.0,4.0,Mobile Wallet,26.0,20.0,7.0,107098.0,2.0,Accessories,1.7,False,12-08-2023
31.0,Male,Clothing,Fall,Utah,Socks,12.0,5942.0,No,14.0,7.0,Mobile Wallet,15.0,96.0,10.0,48390.0,3.0,Clothing,1.55,False,01-02-2023
30.0,Male,Clothing,Fall,Maine,Socks,11.0,2612.0,No,6.0,6.0,Mobile Wallet,23.0,82.0,7.0,102550.0,9.0,Clothing,2.92,True,04-04-2023
45.0,Male,Accessories,Fall,Virginia,Sunglasses,17.0,2769.0,No,9.0,6.0,Cash,1.0,59.0,7.0,96165.0,6.0,Footwear,4.6,True,08-08-2023
48.0,Male,Footwear,Winter,Florida,Sneakers,17.0,4801.0,Yes,21.0,6.0,Debit Card,29.0,59.0,7.0,50518.0,6.0,Clothing,1.88,False,10-08-2022
45.0,Male,Clothing,Fall,Ohio,Socks,7.0,1209.0,No,21.0,2.0,Mobile Wallet,7.0,14.0,8.0,57096.0,3.0,Clothing,2.01,False,06-01-2023
60.0,Male,Footwear,Fall,Virginia,Shoes,10.0,3120.0,No,8.0,1.0,Mobile Wallet,21.0,80.0,4.0,115075.0,1.0,Accessories,3.72,True,17-04-2023
59.0,Male,Clothing,Spring,Kansas,Blouse,6.0,1747.0,Yes,6.0,3.0,Credit Card,22.0,37.0,4.0,64278.0,4.0,Clothing,2.44,True,29-01-2023
18.0,Male,Clothing,Winter,Arkansas,Shorts,11.0,2685.0,No,3.0,7.0,Credit Card,21.0,87.0,8.0,112782.0,10.0,Clothing,4.9,True,20-02-2023
70.0,Male,Outerwear,Spring,Massachusetts,Jacket,18.0,1448.0,No,5.0,4.0,Mobile Wallet,15.0,45.0,6.0,55719.0,8.0,Clothing,2.5,True,03-07-2022
20.0,Male,Clothing,Winter,Idaho,Sweater,7.0,7866.0,No,4.0,4.0,Debit Card,9.0,2.0,4.0,44090.0,1.0,Outerwear,3.04,True,04-07-2022
65.0,Male,Outerwear,Spring,Wisconsin,Jacket,18.0,6887.0,No,22.0,9.0,Credit Card,16.0,40.0,9.0,77279.0,1.0,Accessories,2.43,False,25-11-2022
29.0,Male,Accessories,Summer,New Mexico,Scarf,19.0,6678.0,Yes,3.0,9.0,Debit Card,21.0,86.0,7.0,85011.0,2.0,Accessories,2.92,True,13-11-2023
22.0,Male,Outerwear,Winter,North Carolina,Jacket,20.0,9378.0,No,11.0,3.0,Cash,5.0,50.0,7.0,90383.0,2.0,Accessories,1.1,True,09-08-2022
27.0,Male,Clothing,Summer,Iowa,Sweater,17.0,5554.0,No,1.0,1.0,Mobile Wallet,8.0,81.0,6.0,70294.0,3.0,Outerwear,4.68,False,13-11-2023
36.0,Male,Outerwear,Summer,Idaho,Coat,7.0,7937.0,No,3.0,5.0,Mobile Wallet,12.0,22.0,7.0,37605.0,8.0,Outerwear,3.81,False,02-12-2022
59.0,Male,Footwear,Fall,Ohio,Boots,16.0,221.0,Yes,10.0,10.0,Cash,16.0,91.0,2.0,84055.0,2.0,Outerwear,1.96,True,05-02-2023
62.0,Male,Clothing,Summer,Alabama,Hoodie,8.0,2914.0,Yes,23.0,3.0,Cash,21.0,23.0,1.0,99531.0,4.0,Footwear,3.75,False,21-04-2022
34.0,Male,Accessories,Spring,Wyoming,Hat,20.0,1639.0,No,18.0,8.0,Credit Card,21.0,81.0,5.0,65210.0,9.0,Accessories,1.41,True,10-08-2022
59.0,Male,Clothing,Spring,Alabama,T-shirt,8.0,4848.0,Yes,21.0,3.0,Cash,13.0,57.0,5.0,30099.0,5.0,Outerwear,3.83,True,14-04-2023
49.0,Male,Outerwear,Winter,Mississippi,Coat,4.0,1559.0,No,7.0,5.0,Mobile Wallet,6.0,17.0,8.0,105467.0,2.0,Clothing,4.34,True,30-03-2023
18.0,Male,Clothing,Summer,Pennsylvania,Dress,11.0,9374.0,No,16.0,10.0,Cash,20.0,4.0,8.0,57391.0,8.0,Clothing,1.69,False,13-12-2023
55.0,Male,Clothing,Fall,Wyoming,Shirt,18.0,7079.0,No,4.0,4.0,Cash,17.0,50.0,9.0,42667.0,6.0,Footwear,4.06,False,03-01-2023
38.0,Male,Clothing,Fall,Maryland,Skirt,20.0,8787.0,Yes,12.0,4.0,Mobile Wallet,29.0,7.0,4.0,57182.0,10.0,Outerwear,1.75,True,13-11-2023
50.0,Male,Accessories,Summer,North Carolina,Jewelry,10.0,5394.0,Yes,7.0,6.0,Mobile Wallet,23.0,54.0,3.0,43179.0,9.0,Footwear,1.14,False,16-04-2022
61.0,Male,Accessories,Summer,Pennsylvania,Hat,6.0,6465.0,No,10.0,8.0,Mobile Wallet,28.0,94.0,10.0,97149.0,9.0,Accessories,2.53,False,01-12-2023
48.0,Male,Clothing,Fall,Idaho,Shorts,2.0,5552.0,No,6.0,5.0,Mobile Wallet,24.0,76.0,1.0,45947.0,3.0,Clothing,1.7,True,11-01-2022
22.0,Male,Accessories,Spring,California,Scarf,5.0,3534.0,No,7.0,7.0,Mobile Wallet,21.0,49.0,4.0,43184.0,2.0,Clothing,2.3,True,16-05-2022
48.0,Male,Accessories,Fall,Tennessee,Jewelry,2.0,3188.0,Yes,17.0,5.0,Mobile Wallet,22.0,50.0,7.0,62507.0,9.0,Clothing,1.89,True,14-03-2022
57.0,Male,Accessories,Summer,Missouri,Sunglasses,11.0,6161.0,Yes,22.0,10.0,Cash,8.0,21.0,9.0,76110.0,9.0,Clothing,2.63,True,31-07-2023
33.0,Male,Outerwear,Spring,North Dakota,Coat,14.0,1526.0,No,18.0,5.0,Debit Card,25.0,13.0,5.0,55086.0,9.0,Clothing,3.77,True,26-06-2022
58.0,Male,Outerwear,Winter,West Virginia,Jacket,6.0,2957.0,Yes,15.0,2.0,Debit Card,6.0,26.0,6.0,64482.0,2.0,Footwear,1.13,True,23-01-2023
37.0,Male,Clothing,Fall,Arizona,Sweater,1.0,4438.0,No,6.0,9.0,Debit Card,8.0,19.0,5.0,54396.0,5.0,Footwear,1.18,False,30-12-2023
18.0,Male,Outerwear,Summer,Oklahoma,Coat,7.0,3222.0,Yes,2.0,4.0,Debit Card,3.0,98.0,10.0,65741.0,3.0,Footwear,4.39,True,28-07-2023
65.0,Male,Accessories,Fall,Pennsylvania,Scarf,3.0,6505.0,Yes,6.0,5.0,Credit Card,15.0,16.0,10.0,81781.0,5.0,Footwear,4.62,False,05-11-2022
62.0,Male,Accessories,Spring,Idaho,Belt,12.0,1104.0,No,7.0,4.0,Credit Card,27.0,96.0,6.0,48966.0,4.0,Clothing,2.45,True,22-10-2023
54.0,Male,Accessories,Winter,South Carolina,Hat,12.0,5546.0,No,22.0,10.0,Credit Card,16.0,11.0,6.0,46617.0,6.0,Outerwear,2.5,False,19-02-2023
35.0,Male,Accessories,Summer,Washington,Backpack,11.0,2552.0,No,11.0,7.0,Credit Card,22.0,84.0,6.0,71632.0,10.0,Footwear,1.24,False,18-04-2023
34.0,Male,Clothing,Fall,Arkansas,T-shirt,8.0,9197.0,No,6.0,8.0,Mobile Wallet,7.0,1.0,8.0,98565.0,1.0,Clothing,3.5,True,24-03-2023
25.0,Male,Accessories,Winter,Utah,Jewelry,17.0,9286.0,Yes,23.0,9.0,Debit Card,27.0,9.0,6.0,78738.0,6.0,Accessories,4.74,False,15-04-2022
53.0,Male,Accessories,Winter,Alaska,Sunglasses,1.0,414.0,No,19.0,10.0,Mobile Wallet,1.0,40.0,10.0,96489.0,1.0,Footwear,4.06,True,20-11-2023
45.0,Male,Clothing,Winter,West Virginia,Jeans,13.0,7054.0,No,18.0,10.0,Credit Card,30.0,11.0,7.0,36775.0,2.0,Accessories,3.65,False,09-06-2023
49.0,Male,Clothing,Winter,Louisiana,Pants,7.0,3420.0,No,3.0,7.0,Cash,3.0,39.0,6.0,106842.0,10.0,Outerwear,3.22,False,03-08-2023
40.0,Male,Accessories,Spring,Arizona,Backpack,19.0,3083.0,Yes,22.0,4.0,Credit Card,3.0,24.0,5.0,37002.0,7.0,Accessories,4.44,True,24-05-2022
38.0,Male,Accessories,Spring,Connecticut,Scarf,4.0,862.0,No,22.0,5.0,Credit Card,16.0,85.0,9.0,82150.0,6.0,Accessories,4.86,False,24-12-2022
44.0,Male,Clothing,Spring,North Carolina,Sweater,20.0,2979.0,Yes,5.0,10.0,Mobile Wallet,15.0,44.0,4.0,78029.0,10.0,Clothing,4.31,True,27-02-2023
68.0,Male,Accessories,Spring,South Dakota,Jewelry,6.0,1097.0,Yes,12.0,6.0,Cash,3.0,28.0,3.0,51201.0,10.0,Accessories,2.8,False,13-07-2023
60.0,Male,Footwear,Winter,Delaware,Sneakers,13.0,5440.0,Yes,10.0,9.0,Cash,4.0,31.0,3.0,59764.0,7.0,Accessories,1.35,True,07-08-2023
25.0,Male,Accessories,Winter,Connecticut,Jewelry,13.0,9533.0,Yes,22.0,2.0,Mobile Wallet,14.0,62.0,2.0,89744.0,4.0,Outerwear,3.11,False,14-01-2023
19.0,Male,Outerwear,Summer,Tennessee,Coat,19.0,9566.0,No,19.0,2.0,Mobile Wallet,29.0,42.0,9.0,109682.0,10.0,Clothing,3.27,False,27-12-2023
57.0,Male,Outerwear,Fall,New Hampshire,Coat,4.0,6339.0,No,19.0,3.0,Cash,13.0,62.0,5.0,49895.0,8.0,Accessories,2.65,True,02-02-2023
58.0,Male,Accessories,Summer,Vermont,Sunglasses,19.0,7365.0,No,1.0,5.0,Mobile Wallet,21.0,33.0,1.0,93696.0,8.0,Footwear,1.61,True,08-02-2023
49.0,Male,Accessories,Spring,Idaho,Handbag,11.0,2406.0,No,5.0,4.0,Debit Card,17.0,33.0,8.0,80584.0,7.0,Accessories,4.15,False,22-08-2022
19.0,Male,Clothing,Fall,North Carolina,Sweater,9.0,6670.0,Yes,5.0,6.0,Mobile Wallet,13.0,19.0,4.0,112611.0,7.0,Accessories,2.8,False,14-04-2023
50.0,Male,Clothing,Spring,Nevada,Pants,17.0,7203.0,Yes,24.0,5.0,Credit Card,15.0,57.0,3.0,101500.0,10.0,Footwear,2.07,True,28-05-2023
30.0,Male,Accessories,Fall,Delaware,Gloves,11.0,6196.0,Yes,12.0,10.0,Debit Card,26.0,1.0,9.0,74403.0,9.0,Clothing,1.08,True,15-11-2023
52.0,Male,Clothing,Fall,Texas,Sweater,15.0,381.0,No,12.0,3.0,Debit Card,23.0,54.0,1.0,68575.0,5.0,Accessories,1.55,False,12-10-2023
35.0,Male,Clothing,Spring,Tennessee,Hoodie,17.0,1782.0,No,1.0,8.0,Debit Card,13.0,82.0,1.0,48221.0,3.0,Accessories,1.59,True,10-03-2022
35.0,Male,Accessories,Fall,Delaware,Hat,7.0,9120.0,Yes,2.0,7.0,Mobile Wallet,5.0,74.0,8.0,43598.0,2.0,Outerwear,2.69,True,10-07-2022
33.0,Male,Clothing,Spring,Massachusetts,T-shirt,14.0,5206.0,No,19.0,4.0,Cash,7.0,94.0,7.0,43561.0,7.0,Clothing,2.98,False,17-11-2022
52.0,Male,Clothing,Winter,Minnesota,Skirt,15.0,938.0,No,19.0,9.0,Mobile Wallet,26.0,28.0,10.0,90621.0,2.0,Clothing,2.01,True,27-03-2023
69.0,Male,Footwear,Fall,Texas,Sneakers,9.0,3730.0,No,5.0,1.0,Mobile Wallet,27.0,27.0,3.0,111015.0,7.0,Clothing,2.98,False,31-01-2022
27.0,Male,Clothing,Fall,Nebraska,Shorts,19.0,210.0,No,10.0,9.0,Debit Card,1.0,15.0,4.0,87004.0,8.0,Accessories,1.94,True,23-02-2023
66.0,Male,Clothing,Winter,Oklahoma,Hoodie,15.0,7878.0,No,15.0,3.0,Debit Card,3.0,14.0,7.0,111972.0,6.0,Outerwear,3.68,True,01-06-2022
28.0,Male,Clothing,Fall,Texas,Hoodie,8.0,8374.0,Yes,22.0,4.0,Credit Card,8.0,87.0,6.0,108713.0,4.0,Clothing,1.25,False,15-05-2023
22.0,Male,Footwear,Summer,New York,Shoes,1.0,7781.0,Yes,21.0,5.0,Cash,1.0,55.0,5.0,107486.0,2.0,Outerwear,3.01,True,12-09-2023
69.0,Male,Clothing,Spring,Washington,Hoodie,2.0,9191.0,No,8.0,10.0,Debit Card,17.0,2.0,9.0,105315.0,5.0,Accessories,4.36,True,21-01-2023
28.0,Male,Accessories,Summer,Maryland,Sunglasses,2.0,6939.0,Yes,22.0,5.0,Credit Card,7.0,75.0,9.0,33779.0,9.0,Outerwear,3.21,False,24-07-2023
55.0,Male,Clothing,Fall,New Hampshire,Skirt,13.0,6704.0,Yes,7.0,1.0,Debit Card,19.0,77.0,2.0,84983.0,6.0,Outerwear,3.41,True,22-06-2022
30.0,Male,Accessories,Fall,New York,Hat,16.0,9618.0,No,22.0,9.0,Cash,1.0,48.0,4.0,53029.0,1.0,Outerwear,2.03,True,05-11-2023
67.0,Male,Accessories,Winter,Hawaii,Backpack,17.0,9995.0,No,4.0,8.0,Debit Card,5.0,69.0,5.0,54297.0,1.0,Accessories,3.53,True,25-03-2022
25.0,Male,Accessories,Spring,California,Sunglasses,5.0,2953.0,Yes,12.0,1.0,Credit Card,25.0,91.0,4.0,46219.0,1.0,Accessories,4.92,False,04-07-2023
49.0,Male,Accessories,Summer,Indiana,Belt,7.0,2479.0,Yes,9.0,6.0,Cash,3.0,10.0,8.0,109154.0,5.0,Outerwear,3.2,False,16-07-2023
34.0,Male,Accessories,Spring,Louisiana,Jewelry,15.0,5107.0,Yes,18.0,5.0,Debit Card,4.0,86.0,1.0,37724.0,4.0,Footwear,4.15,False,08-01-2023
22.0,Male,Footwear,Winter,Pennsylvania,Sneakers,3.0,3695.0,Yes,13.0,3.0,Cash,26.0,100.0,4.0,115167.0,3.0,Footwear,4.82,True,18-06-2022
63.0,Male,Clothing,Fall,Florida,T-shirt,10.0,965.0,No,12.0,1.0,Cash,21.0,94.0,2.0,79711.0,2.0,Clothing,2.73,True,03-12-2022
70.0,Male,Accessories,Spring,North Carolina,Handbag,8.0,9588.0,No,20.0,3.0,Cash,14.0,59.0,1.0,90305.0,1.0,Footwear,4.63,True,28-10-2022
36.0,Male,Accessories,Fall,Massachusetts,Hat,2.0,5587.0,Yes,1.0,5.0,Credit Card,7.0,13.0,8.0,80099.0,6.0,Outerwear,1.86,True,28-02-2022
42.0,Male,Clothing,Spring,Iowa,Sweater,5.0,4824.0,Yes,7.0,1.0,Mobile Wallet,25.0,22.0,9.0,111586.0,1.0,Accessories,1.88,True,17-01-2022
27.0,Male,Footwear,Summer,North Dakota,Sandals,17.0,1022.0,No,18.0,2.0,Mobile Wallet,27.0,64.0,9.0,35287.0,8.0,Accessories,2.82,False,18-03-2023
23.0,Male,Accessories,Winter,Iowa,Scarf,3.0,3046.0,No,18.0,9.0,Credit Card,16.0,83.0,2.0,85847.0,10.0,Outerwear,1.43,False,10-08-2023
50.0,Male,Clothing,Spring,Delaware,Shirt,11.0,3193.0,Yes,23.0,9.0,Mobile Wallet,3.0,67.0,9.0,66365.0,10.0,Clothing,4.71,True,02-10-2022
56.0,Male,Accessories,Winter,New York,Gloves,16.0,3198.0,No,3.0,3.0,Cash,7.0,50.0,6.0,81386.0,10.0,Accessories,2.74,False,31-01-2023
37.0,Male,Clothing,Winter,New Hampshire,Hoodie,15.0,3476.0,Yes,23.0,1.0,Cash,7.0,40.0,5.0,108218.0,8.0,Outerwear,1.28,True,19-08-2023
67.0,Male,Accessories,Summer,Kentucky,Jewelry,3.0,5422.0,Yes,14.0,7.0,Mobile Wallet,3.0,30.0,10.0,38784.0,7.0,Outerwear,2.97,False,21-10-2022
67.0,Male,Clothing,Spring,Illinois,Shirt,8.0,1877.0,No,3.0,7.0,Cash,8.0,31.0,1.0,62714.0,2.0,Footwear,4.41,False,19-07-2022
50.0,Male,Clothing,Spring,North Carolina,Hoodie,9.0,2873.0,Yes,12.0,6.0,Debit Card,14.0,55.0,2.0,115208.0,2.0,Outerwear,4.27,True,16-11-2022
36.0,Male,Footwear,Winter,Connecticut,Shoes,6.0,6354.0,No,16.0,9.0,Credit Card,1.0,22.0,5.0,70447.0,10.0,Accessories,1.12,True,02-03-2023
62.0,Male,Clothing,Summer,Wisconsin,T-shirt,7.0,9964.0,Yes,16.0,5.0,Cash,28.0,15.0,5.0,50912.0,5.0,Clothing,3.38,True,21-07-2023
65.0,Male,Clothing,Winter,Massachusetts,Skirt,2.0,7441.0,No,19.0,7.0,Credit Card,19.0,22.0,3.0,63290.0,1.0,Accessories,2.56,True,27-12-2022
23.0,Male,Accessories,Summer,Illinois,Handbag,15.0,3890.0,No,4.0,6.0,Credit Card,10.0,24.0,2.0,31658.0,10.0,Outerwear,4.43,False,09-07-2022
46.0,Male,Clothing,Winter,New Mexico,Shirt,6.0,5951.0,Yes,13.0,7.0,Cash,19.0,92.0,4.0,76818.0,8.0,Outerwear,4.27,True,06-06-2023
18.0,Male,Clothing,Summer,Iowa,Pants,12.0,4493.0,No,22.0,9.0,Credit Card,30.0,62.0,2.0,56529.0,7.0,Outerwear,4.23,True,14-06-2022
58.0,Male,Outerwear,Spring,Alabama,Coat,16.0,9150.0,Yes,16.0,8.0,Debit Card,12.0,82.0,9.0,84258.0,1.0,Clothing,1.94,False,25-04-2023
31.0,Male,Clothing,Winter,Maryland,Jeans,17.0,3332.0,No,4.0,4.0,Debit Card,16.0,65.0,9.0,32917.0,9.0,Accessories,1.56,True,29-07-2023
39.0,Male,Accessories,Winter,Ohio,Gloves,17.0,3501.0,Yes,10.0,2.0,Cash,20.0,43.0,9.0,80173.0,2.0,Outerwear,3.52,True,08-12-2022
69.0,Male,Clothing,Spring,Ohio,T-shirt,2.0,565.0,No,10.0,3.0,Mobile Wallet,22.0,62.0,2.0,101478.0,7.0,Accessories,2.49,True,01-07-2023
68.0,Male,Footwear,Winter,Nevada,Boots,16.0,5530.0,Yes,13.0,5.0,Debit Card,30.0,51.0,3.0,92085.0,8.0,Footwear,1.19,False,09-11-2022
41.0,Male,Clothing,Fall,South Carolina,Jeans,2.0,1608.0,Yes,23.0,8.0,Credit Card,5.0,65.0,6.0,72187.0,3.0,Accessories,1.92,False,29-09-2023
31.0,Male,Footwear,Summer,Nevada,Sneakers,3.0,9702.0,No,5.0,7.0,Credit Card,19.0,39.0,10.0,30601.0,10.0,Footwear,3.09,False,23-04-2023
48.0,Male,Footwear,Summer,Wisconsin,Sneakers,5.0,1203.0,No,2.0,5.0,Mobile Wallet,10.0,99.0,1.0,63152.0,10.0,Accessories,4.82,False,21-07-2023
59.0,Male,Accessories,Winter,Tennessee,Hat,14.0,7700.0,Yes,4.0,9.0,Cash,17.0,4.0,4.0,52679.0,2.0,Footwear,3.95,True,13-02-2022
34.0,Male,Clothing,Spring,Florida,Pants,10.0,4076.0,Yes,8.0,1.0,Credit Card,16.0,92.0,6.0,108791.0,6.0,Footwear,3.82,False,21-03-2023
21.0,Male,Accessories,Spring,Georgia,Jewelry,11.0,1406.0,No,20.0,7.0,Cash,7.0,13.0,9.0,39193.0,1.0,Clothing,2.82,True,14-07-2022
29.0,Male,Accessories,Winter,Kentucky,Jewelry,18.0,116.0,Yes,7.0,4.0,Credit Card,22.0,4.0,2.0,69628.0,8.0,Accessories,3.6,True,22-10-2023
41.0,Male,Clothing,Spring,Ohio,Blouse,4.0,2673.0,Yes,1.0,6.0,Mobile Wallet,24.0,81.0,2.0,60640.0,10.0,Clothing,3.71,False,02-11-2022
62.0,Male,Accessories,Fall,Connecticut,Handbag,19.0,9431.0,No,21.0,3.0,Debit Card,21.0,1.0,3.0,44432.0,9.0,Accessories,4.0,False,01-12-2022
27.0,Male,Clothing,Summer,Idaho,Shirt,19.0,9737.0,Yes,13.0,3.0,Debit Card,25.0,19.0,1.0,105938.0,1.0,Footwear,1.53,False,13-05-2023
49.0,Male,Clothing,Spring,Georgia,Dress,19.0,591.0,No,3.0,6.0,Mobile Wallet,2.0,87.0,2.0,65992.0,2.0,Accessories,4.5,True,22-03-2023
67.0,Male,Clothing,Fall,Tennessee,T-shirt,13.0,7505.0,Yes,4.0,6.0,Mobile Wallet,4.0,82.0,4.0,109484.0,4.0,Footwear,2.17,True,24-03-2022
20.0,Male,Footwear,Summer,Hawaii,Shoes,19.0,8310.0,No,24.0,10.0,Cash,17.0,53.0,2.0,109005.0,10.0,Outerwear,4.68,True,04-05-2023
37.0,Male,Accessories,Fall,Maryland,Belt,14.0,1494.0,No,19.0,9.0,Cash,15.0,3.0,7.0,63902.0,8.0,Clothing,3.83,True,26-03-2022
69.0,Male,Accessories,Summer,Nevada,Belt,5.0,1549.0,No,13.0,8.0,Credit Card,9.0,16.0,2.0,101929.0,7.0,Accessories,3.73,False,13-10-2023
66.0,Male,Accessories,Fall,New Hampshire,Handbag,16.0,4119.0,No,20.0,10.0,Mobile Wallet,5.0,46.0,1.0,85053.0,2.0,Footwear,1.86,False,03-11-2022
37.0,Male,Accessories,Summer,North Dakota,Scarf,16.0,7287.0,Yes,8.0,3.0,Mobile Wallet,13.0,3.0,1.0,89349.0,4.0,Footwear,1.5,True,28-01-2023
63.0,Male,Clothing,Fall,Oklahoma,Shorts,13.0,9324.0,No,23.0,7.0,Debit Card,13.0,37.0,7.0,65061.0,2.0,Outerwear,4.63,True,03-02-2022
47.0,Male,Footwear,Winter,North Carolina,Sandals,19.0,5456.0,Yes,15.0,1.0,Cash,19.0,26.0,5.0,40811.0,8.0,Clothing,4.16,True,02-05-2023
26.0,Male,Clothing,Summer,Tennessee,Pants,14.0,1369.0,Yes,18.0,8.0,Mobile Wallet,16.0,4.0,1.0,54775.0,4.0,Outerwear,2.68,False,29-03-2022
68.0,Male,Clothing,Winter,Montana,Dress,3.0,2615.0,Yes,13.0,10.0,Credit Card,5.0,11.0,10.0,101774.0,10.0,Clothing,2.86,False,22-01-2023
51.0,Male,Clothing,Winter,Wisconsin,T-shirt,11.0,7179.0,No,11.0,7.0,Credit Card,27.0,32.0,3.0,102597.0,8.0,Clothing,4.06,False,23-12-2022
48.0,Male,Clothing,Winter,Connecticut,Dress,10.0,4622.0,Yes,5.0,4.0,Debit Card,25.0,16.0,8.0,54054.0,10.0,Accessories,3.66,True,17-02-2022
60.0,Male,Clothing,Summer,New Jersey,Socks,5.0,7920.0,No,24.0,5.0,Debit Card,26.0,47.0,3.0,114801.0,4.0,Footwear,2.15,True,03-09-2022
68.0,Male,Accessories,Summer,Mississippi,Scarf,6.0,6160.0,No,14.0,10.0,Cash,23.0,24.0,2.0,54304.0,3.0,Footwear,2.6,False,26-01-2022
25.0,Male,Accessories,Fall,Wyoming,Backpack,2.0,7597.0,Yes,7.0,8.0,Cash,2.0,34.0,6.0,80778.0,3.0,Accessories,1.96,True,07-01-2023
57.0,Male,Clothing,Spring,Illinois,Skirt,6.0,6031.0,No,7.0,5.0,Mobile Wallet,17.0,10.0,3.0,102593.0,8.0,Accessories,1.12,False,27-05-2023
41.0,Male,Clothing,Spring,Louisiana,Socks,2.0,9398.0,No,13.0,5.0,Credit Card,1.0,48.0,4.0,38414.0,6.0,Outerwear,4.18,False,14-07-2023
59.0,Male,Outerwear,Spring,Oregon,Coat,12.0,1552.0,Yes,11.0,10.0,Cash,1.0,37.0,4.0,40943.0,8.0,Accessories,3.87,False,12-02-2022
44.0,Male,Accessories,Winter,South Dakota,Jewelry,18.0,5303.0,Yes,7.0,4.0,Credit Card,30.0,75.0,1.0,39074.0,9.0,Footwear,2.9,False,28-01-2023
42.0,Male,Accessories,Winter,Michigan,Backpack,18.0,4249.0,No,5.0,2.0,Mobile Wallet,13.0,60.0,8.0,92445.0,9.0,Footwear,2.01,False,22-09-2022
